id,conditions,item,slider_value,read_time,image_error
60f9330b009cd,dap,23,93,[3972],False
60f9330b009cd,farbe_unscharf,62,4,[6119],False
60f9330b009cd,grosse_unscharf,126,95,[6677],False
60f9330b009cd,grosse_scharf,30,97,[7659],False
60f9330b009cd,grosse_unscharf,113,-1,[4673],False
60f9330b009cd,grosse_scharf,33,97,[7183],False
60f9330b009cd,farbe_scharf,155,95,[4472],False
60f9330b009cd,dap,21,92,[4748],False
60f9330b009cd,farbe_scharf,136,97,[5700],False
60f9330b009cd,farbe_scharf,152,99,[7105],False
60f9330b009cd,grosse_scharf,46,-1,[3293],False
60f9714583ed9,grosse_scharf,45,0,[24564],False
60f9714583ed9,dap,8,100,[11257],False
60f9714583ed9,dap,18,100,[11249],False
60f9714583ed9,dap,13,0,[15384],False
60f9714583ed9,grosse_scharf,39,0,[8842],False
60f9714583ed9,farbe_scharf,157,100,[16957],False
60f9714583ed9,farbe_unscharf,74,65,[13399],False
60f9714583ed9,farbe_scharf,148,61,[11458],False
60f9714583ed9,dap,17,62,[14586],False
60f9714583ed9,grosse_scharf,36,1,[8145],False
60f9714583ed9,dap,21,0,[7275],False
60f9714583ed9,grosse_scharf,55,0,[6674],False
60f9714583ed9,farbe_scharf,141,65,[14804],False
60f9714583ed9,dap,12,0,[9197],False
60f9714583ed9,farbe_unscharf,77,63,[14183],False
60f9714583ed9,dap,16,100,[5543],False
60f9714583ed9,dap,2,100,[5406],False
60f9714583ed9,farbe_unscharf,61,71,[13460],False
60f9714583ed9,dap,9,0,[4671],False
60f9714583ed9,grosse_scharf,58,0,[8294],False
60f9714583ed9,dap,15,0,[14538],False
60f9714583ed9,dap,4,100,[6019],False
60f9714583ed9,dap,14,0,[6160],False
60f9714583ed9,farbe_unscharf,87,69,[7179],False
60f9714583ed9,dap,6,21,[32363],False
60f9714583ed9,dap,3,100,[7014],False
60f9714583ed9,dap,24,100,[6430],False
60f9714583ed9,grosse_unscharf,125,0,[11857],False
60f9714583ed9,grosse_unscharf,100,0,[45793],False
60f9714583ed9,grosse_unscharf,109,0,[8351],False
60f9714583ed9,farbe_scharf,135,100,[12472],False
60f9714583ed9,grosse_unscharf,116,0,[10736],False
60f9714583ed9,dap,23,0,[4158],False
60f9714583ed9,dap,1,0,[5975],False
60f9714583ed9,grosse_unscharf,103,-1,[13527],False
60f9714583ed9,farbe_scharf,164,69,[8758],False
60f9714583ed9,grosse_scharf,52,29,[8168],False
60f9714583ed9,dap,7,0,[7147],False
60f9714583ed9,dap,20,100,[5422],False
60f9714583ed9,dap,19,100,[6429],False
60f9714583ed9,dap,5,0,[5877],False
60f9714583ed9,farbe_scharf,151,74,[7229],False
